month,m1,m3,y1,y3,y5,y7,y10
04/2015,1.72,1.72,1.72,1.95,2.25,2.44,2.62
05/2015,1.52,1.52,1.51,1.84,2.28,2.58,2.81
06/2015,1.49,1.48,1.49,1.84,2.38,2.74,2.97
07/2015,1.46,1.46,1.47,1.67,2.24,2.60,2.84
08/2015,1.44,1.44,1.46,1.67,2.17,2.55,2.76
09/2015,1.46,1.47,1.50,1.81,2.27,2.66,2.88
10/2015,1.46,1.47,1.49,1.77,2.24,2.53,2.65
11/2015,1.46,1.48,1.50,1.74,2.25,2.54,2.70
12/2015,1.50,1.50,1.50,1.74,2.21,2.47,2.61
01/2016,1.42,1.43,1.48,1.65,2.09,2.32,2.53
02/2016,1.39,1.40,1.44,1.53,1.81,1.96,2.15
03/2016,1.38,1.38,1.39,1.44,1.58,1.68,1.88
04/2016,1.36,1.36,1.37,1.38,1.51,1.57,1.72
05/2016,1.38,1.39,1.43,1.56,1.71,1.83,1.98
06/2016,1.37,1.39,1.46,1.62,1.83,1.96,2.13
07/2016,1.33,1.35,1.46,1.54,1.70,1.84,2.04
08/2016,1.33,1.37,1.47,1.59,1.74,1.88,2.12
09/2016,1.40,1.45,1.50,1.63,1.83,2.01,2.19
10/2016,1.42,1.46,1.50,1.64,1.84,2.03,2.17
11/2016,1.45,1.47,1.50,1.71,1.95,2.20,2.42
12/2016,1.47,1.51,1.54,1.83,2.18,2.49,2.80
01/2017,1.44,1.46,1.52,1.82,2.16,2.49,2.72
02/2017,1.42,1.44,1.52,1.75,2.13,2.44,2.74
03/2017,1.43,1.46,1.54,1.76,2.19,2.49,2.81
04/2017,1.42,1.44,1.51,1.72,2.12,2.44,2.72
05/2017,1.39,1.43,1.50,1.72,2.13,2.46,2.76
06/2017,1.36,1.41,1.49,1.63,1.97,2.30,2.57
07/2017,1.26,1.30,1.46,1.59,1.92,2.25,2.55
08/2017,1.14,1.19,1.42,1.57,1.82,2.16,2.47
09/2017,1.14,1.22,1.43,1.55,1.75,2.10,2.41
10/2017,1.14,1.22,1.42,1.55,1.79,2.10,2.42
11/2017,1.15,1.22,1.42,1.58,1.89,2.14,2.49
12/2017,1.18,1.22,1.45,1.61,1.89,2.16,2.58
01/2018,1.10,1.17,1.42,1.59,1.82,2.09,2.49
02/2018,1.11,1.19,1.41,1.58,1.84,2.15,2.55
03/2018,1.10,1.16,1.35,1.59,1.84,2.14,2.56
04/2018,1.11,1.17,1.37,1.62,1.88,2.18,2.58
05/2018,1.19,1.30,1.50,1.76,2.07,2.39,2.76
06/2018,1.19,1.28,1.55,1.84,2.12,2.41,2.80
07/2018,1.22,1.33,1.56,1.88,2.19,2.45,2.76
08/2018,1.20,1.30,1.58,1.97,2.29,2.48,2.73
09/2018,1.19,1.30,1.71,2.06,2.33,2.55,2.81
10/2018,1.23,1.47,1.78,2.12,2.42,2.62,2.85
11/2018,1.29,1.49,1.74,2.07,2.35,2.56,2.77
12/2018,1.38,1.51,1.74,1.94,2.23,2.44,2.59
01/2019,1.51,1.59,1.75,1.84,2.12,2.31,2.48
02/2019,1.59,1.67,1.77,1.86,2.16,2.30,2.49
03/2019,1.61,1.68,1.80,1.82,2.16,2.32,2.55
